Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,district,area_comfort
59899.0,2.0,1070.0,8.0,10.0,1995.0,56.0,34.0,8.0,Вишняківська,Дарницький,14.0
177000.0,2.0,2565.0,3.0,4.0,2010.0,69.0,41.0,8.0,Липська,Дарницький,20.0
63000.0,1.0,1286.0,11.0,25.0,2019.0,49.0,16.0,16.0,Сверстюка,Дарницький,17.0
499000.0,3.0,4229.0,8.0,19.0,2010.0,118.0,37.0,14.0,Драгомирова,Дарницький,67.0
49500.0,1.0,1269.0,19.0,26.0,2010.0,39.0,17.0,11.0,Причальна,Дарницький,11.0
275000.0,2.0,4435.0,22.0,28.0,2013.0,62.0,30.0,20.0,Болсуновська,Печерський,12.0
93000.0,3.0,1336.0,13.0,14.0,1994.0,69.0,48.0,14.0,Повітрофлотський,"Шевченківський, Солом'янський",7.0
87500.0,2.0,1306.0,20.0,25.0,2015.0,67.0,37.0,14.0,Драгоманова,Дарницький,16.0
110000.0,3.0,1325.0,4.0,24.0,2008.0,83.0,37.0,30.0,Григоренка,Оболонський,16.0
900000.0,4.0,3600.0,23.0,24.0,2012.0,250.0,37.0,14.0,Дніпровська,Оболонський,199.0
86000.0,1.0,2205.0,3.0,8.0,2014.0,39.0,37.0,14.0,Жабаєва,Подільський,-12.0
335000.0,3.0,2577.0,9.0,14.0,2014.0,130.0,60.0,60.0,Філатова,Подільський,10.0
67000.0,2.0,971.0,3.0,26.0,2021.0,69.0,25.0,21.0,Правди,Подільський,23.0
90000.0,2.0,1800.0,4.0,4.0,1896.0,50.0,37.0,6.0,Малопідвальна,Шевченківський,7.0
101500.0,1.0,2307.0,8.0,11.0,2010.0,44.0,22.0,13.0,Бойчука,Дарницький,9.0
104000.0,3.0,1169.0,18.0,26.0,2010.0,89.0,37.0,40.0,Зарічна,Дарницький,12.0
190000.0,2.0,3167.0,9.0,21.0,2017.0,60.0,37.0,25.0,Предславинська,Печерський,-2.0
3600000.0,6.0,8000.0,25.0,25.0,2011.0,450.0,288.0,45.0,Івана Мазепи,Печерський,117.0
63000.0,2.0,1033.0,10.0,26.0,2010.0,61.0,28.0,12.0,Радченка,Печерський,21.0
680000.0,7.0,2369.0,21.0,21.0,2010.0,287.0,177.0,14.0,Лабораторний,Печерський,96.0
139000.0,2.0,1829.0,20.0,21.0,2018.0,76.0,31.0,19.0,Конєва,Оболонський,26.0
347700.0,4.0,1900.0,4.0,25.0,2011.0,183.0,100.0,17.0,Шаповала,Оболонський,66.0
85000.0,2.0,1328.0,4.0,24.0,2010.0,64.0,30.0,20.0,Дніпровська,Оболонський,14.0
35600.0,1.0,989.0,10.0,26.0,2010.0,36.0,15.0,12.0,Клеманська,Дарницький,9.0
85000.0,3.0,1133.0,9.0,15.0,1999.0,75.0,42.0,8.0,Григоренка,Печерський,25.0
46000.0,1.0,1022.0,4.0,5.0,1963.0,45.0,37.0,10.0,Туполєва,Печерський,-2.0
125000.0,2.0,2358.0,3.0,4.0,1860.0,53.0,42.0,5.0,Хмельницького,Печерський,6.0
530000.0,3.0,3926.0,4.0,15.0,2017.0,135.0,50.0,40.0,Саперне Поле,Печерський,45.0
229000.0,3.0,2140.0,7.0,25.0,2007.0,107.0,50.0,14.0,Героїв Сталінграда,Оболонський,43.0
117000.0,3.0,1401.0,14.0,26.0,2010.0,69.0,37.0,14.0,Дніпровська,Оболонський,18.0
110000.0,2.0,2000.0,3.0,9.0,1971.0,55.0,37.0,14.0,Тарасівська,Голосіївський,4.0
92900.0,3.0,1021.0,4.0,5.0,1956.0,91.0,56.0,11.0,Краківська,Дніпровський,24.0
77500.0,1.0,1845.0,5.0,9.0,2018.0,42.0,17.0,15.0,Юнацька,Святошинський,10.0
40500.0,1.0,1067.0,4.0,26.0,2010.0,69.0,37.0,14.0,Клеманська,Дарницький,18.0
136000.0,3.0,1462.0,2.0,16.0,1998.0,93.0,50.0,28.0,Героїв Сталінграда,Оболонський,15.0
499000.0,3.0,4229.0,8.0,19.0,2010.0,118.0,37.0,14.0,Драгомирова,Дарницький,67.0
220000.0,2.0,2619.0,3.0,8.0,1948.0,84.0,52.0,13.0,*** not found,Дарницький,19.0
125000.0,3.0,1147.0,23.0,26.0,2011.0,109.0,83.0,16.0,Драгоманова,Дарницький,10.0
100000.0,2.0,1818.0,8.0,19.0,1958.0,55.0,37.0,14.0,Українки,Деснянський,4.0
80000.0,1.0,2581.0,22.0,25.0,2018.0,31.0,14.0,14.0,Тимошенка,Деснянський,3.0
57000.0,3.0,851.0,5.0,9.0,1985.0,67.0,37.0,14.0,Маяковського,Деснянський,16.0
170000.0,2.0,1932.0,3.0,9.0,2005.0,88.0,44.0,22.0,Дмитрівська,Шевченківський,22.0
59750.0,2.0,996.0,14.0,15.0,1980.0,60.0,53.0,10.0,Курбаса,Дарницький,-3.0
42678.6,1.0,1094.3,16.0,16.0,2010.0,39.0,12.0,14.0,Комарова,Дарницький,13.0
92000.0,2.0,1227.0,2.0,25.0,2015.0,75.0,38.0,15.0,Драгоманова,Дарницький,22.0
115000.0,2.0,1597.0,4.0,32.0,2019.0,72.0,37.0,14.0,Драгомирова,Деснянський,21.0
54000.0,1.0,1227.0,18.0,25.0,2019.0,44.0,37.0,14.0,Моторний,Деснянський,-7.0
45500.0,1.0,929.0,2.0,9.0,1995.0,49.0,14.0,24.0,Милославська,Деснянський,11.0
91500.0,1.0,2288.0,11.0,11.0,2020.0,40.0,20.0,12.0,Бойчука,Шевченківський,8.0
60500.0,3.0,818.0,4.0,9.0,1990.0,74.0,37.0,14.0,Закревського,Шевченківський,23.0
250000.0,1.0,4630.0,7.0,25.0,2019.0,54.0,15.0,20.0,Івана Федорова,Шевченківський,19.0
78000.0,2.0,1773.0,3.0,9.0,1966.0,44.0,37.0,14.0,Філатова,Шевченківський,-7.0
130000.0,2.0,1625.0,6.0,25.0,2010.0,80.0,37.0,14.0,Перемоги,Шевченківський,29.0
84999.0,4.0,885.0,7.0,16.0,1986.0,96.0,37.0,13.0,Миропільська,"Деснянський, Дніпровський",46.0
83000.0,3.0,856.0,1.0,22.0,2007.0,97.0,65.0,14.0,Григоренка,Святошинський,18.0
129999.0,2.0,2063.0,6.0,9.0,2018.0,63.0,30.0,15.0,Юнацька,Святошинський,18.0
70000.0,3.0,729.0,4.0,4.0,1946.0,96.0,37.0,14.0,Вишгородська,"Подільський, Оболонський",45.0
36000.0,1.0,1200.0,5.0,9.0,2010.0,30.0,13.0,10.0,Жолудєва,Святошинський,7.0
210000.0,3.0,1409.0,7.0,12.0,2001.0,149.0,87.0,16.0,Павлівська,Шевченківський,46.0
85900.0,3.0,1263.0,6.0,8.0,1964.0,68.0,47.0,6.0,Голосіївський,Голосіївський,15.0
108000.0,1.0,2160.0,2.0,25.0,2019.0,50.0,30.0,10.0,Осокорська,Дарницький,10.0
120000.0,3.0,1395.0,10.0,24.0,2010.0,86.0,40.0,17.0,Вишгородська,"Подільський, Оболонський",29.0
221000.0,2.0,3400.0,8.0,10.0,2010.0,65.0,37.0,14.0,Драгомирова,Оболонський,14.0
60000.0,1.0,1818.0,5.0,5.0,1962.0,33.0,37.0,16.0,Тютюнника,Оболонський,-20.0
165000.0,2.0,2845.0,6.0,24.0,2015.0,58.0,25.0,22.0,Маккейна,Оболонський,11.0
200000.0,5.0,1481.0,4.0,4.0,1917.0,135.0,37.0,14.0,Івана Мазепи,Оболонський,84.0
145000.0,2.0,1933.0,5.0,24.0,2007.0,75.0,44.0,14.0,Героїв Сталінграда,Оболонський,17.0
199000.0,3.0,2488.0,2.0,25.0,2018.0,80.0,33.0,22.0,Липківського,Святошинський,25.0
186117.4,1.0,3579.2,8.0,19.0,2010.0,52.0,37.0,14.0,*** not found,Святошинський,1.0
199000.0,2.0,2073.0,10.0,25.0,2005.0,96.0,43.0,16.0,Коновальця,Святошинський,37.0
50700.0,1.0,1300.0,6.0,14.0,2019.0,39.0,25.0,8.0,Максимовича,Святошинський,6.0
185000.0,2.0,2256.0,5.0,21.0,2015.0,82.0,61.0,12.0,Зарічна,Дарницький,9.0
