Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,area_comfort,street,district
125000.0,3.0,1147.0,23.0,26.0,2011.0,109.0,83.0,16.0,10.0,Драгоманова,Дарницький
100000.0,2.0,1818.0,8.0,18.0,1958.0,55.0,37.0,14.0,4.0,Українки,Деснянський
80000.0,1.0,2581.0,22.0,25.0,2018.0,31.0,14.0,14.0,3.0,Тимошенка,Деснянський
57000.0,3.0,851.0,5.0,9.0,1985.0,67.0,37.0,14.0,16.0,Маяковського,Деснянський
170000.0,2.0,1932.0,3.0,9.0,2005.0,88.0,44.0,22.0,22.0,Дмитрівська,Шевченківський
59750.0,2.0,996.0,14.0,15.0,1980.0,60.0,53.0,10.0,0.0,Курбаса,Дарницький
42678.6,1.0,1094.3,16.0,16.0,2009.0,39.0,12.0,14.0,13.0,Комарова,Дарницький
92000.0,2.0,1227.0,2.0,25.0,2015.0,75.0,38.0,15.0,22.0,Драгоманова,Дарницький
115000.0,2.0,1597.0,4.0,32.0,2019.0,72.0,37.0,14.0,21.0,Драгомирова,Деснянський
54000.0,1.0,1227.0,18.0,25.0,2019.0,44.0,37.0,14.0,0.0,Моторний,Деснянський
45500.0,1.0,929.0,2.0,9.0,1995.0,49.0,14.0,24.0,11.0,Милославська,Деснянський
91500.0,1.0,2288.0,11.0,11.0,2020.0,40.0,20.0,12.0,8.0,Бойчука,"Деснянський, Дніпровський"
60500.0,3.0,818.0,4.0,9.0,1990.0,74.0,37.0,14.0,23.0,Закревського,"Деснянський, Дніпровський"
250000.0,1.0,4630.0,7.0,25.0,2019.0,54.0,15.0,20.0,19.0,Івана Федорова,"Деснянський, Дніпровський"
78000.0,2.0,1773.0,3.0,9.0,1966.0,44.0,37.0,14.0,0.0,Філатова,"Деснянський, Дніпровський"
84999.0,4.0,885.0,7.0,16.0,1986.0,96.0,37.0,13.0,46.0,Миропільська,"Деснянський, Дніпровський"
83000.0,3.0,856.0,1.0,22.0,2007.0,97.0,65.0,14.0,18.0,Григоренка,Святошинський
129999.0,2.0,2063.0,6.0,9.0,2018.0,63.0,30.0,15.0,18.0,Юнацька,Святошинський
70000.0,3.0,729.0,4.0,4.0,1946.0,96.0,37.0,14.0,45.0,Вишгородська,"Подільський, Оболонський"
36000.0,1.0,1200.0,5.0,9.0,2009.0,30.0,13.0,10.0,7.0,Жолудєва,Святошинський
210000.0,3.0,1409.0,7.0,12.0,2001.0,149.0,87.0,16.0,46.0,Павлівська,Шевченківський
85900.0,3.0,1263.0,6.0,8.0,1964.0,68.0,47.0,6.0,15.0,Голосіївський,Голосіївський
108000.0,1.0,2160.0,2.0,25.0,2019.0,50.0,30.0,10.0,10.0,Осокорська,Дарницький
120000.0,3.0,1395.0,10.0,24.0,2009.0,86.0,40.0,17.0,29.0,Вишгородська,"Подільський, Оболонський"
221000.0,2.0,3400.0,8.0,10.0,2009.0,65.0,37.0,14.0,14.0,Драгомирова,Оболонський
60000.0,1.0,1818.0,5.0,5.0,1962.0,33.0,37.0,16.0,0.0,Тютюнника,Оболонський
165000.0,2.0,2845.0,6.0,24.0,2015.0,58.0,25.0,22.0,11.0,Маккейна,Оболонський
200000.0,5.0,1481.0,4.0,4.0,1917.0,135.0,37.0,14.0,84.0,Івана Мазепи,Оболонський
145000.0,2.0,1933.0,5.0,24.0,2007.0,75.0,44.0,14.0,17.0,Героїв Сталінграда,Оболонський
199000.0,3.0,2488.0,2.0,25.0,2018.0,80.0,33.0,22.0,25.0,Липківського,Святошинський
186117.4,1.0,3579.2,8.0,18.0,2009.0,52.0,37.0,14.0,1.0,Коновальця,Святошинський
199000.0,2.0,2073.0,10.0,25.0,2005.0,96.0,43.0,16.0,37.0,Коновальця,Святошинський
50700.0,1.0,1300.0,6.0,14.0,2019.0,39.0,25.0,8.0,6.0,Максимовича,Святошинський
185000.0,2.0,2256.0,5.0,21.0,2015.0,82.0,61.0,12.0,9.0,Зарічна,Дарницький
152000.0,2.0,1667.0,24.0,25.0,2008.0,56.0,41.0,14.0,1.0,Голосіївська,Голосіївський
92000.0,3.0,965.0,1.0,25.0,2009.0,56.0,48.0,16.0,0.0,Ясинуватський,Голосіївський
49387.4,1.0,881.9,8.0,18.0,2009.0,56.0,37.0,14.0,5.0,Колоса,Подільський
56500.0,1.0,1749.0,5.0,7.0,2019.0,38.0,21.0,5.0,12.0,Колоса,Подільський
80000.0,1.0,2105.0,11.0,21.0,2017.0,38.0,12.0,15.0,11.0,Правди,Подільський
480000.0,4.0,2609.0,5.0,6.0,1915.0,184.0,108.0,34.0,42.0,Велика Васильківська,"Голосіївський, Шевченківський, Печерський"
59000.0,2.0,1157.0,2.0,12.0,1981.0,51.0,37.0,14.0,0.0,Голосіївський,Голосіївський
149632.1,1.0,3183.6,8.0,18.0,2009.0,47.0,37.0,14.0,0.0,Бойчука,Дніпровський
147075.0,2.0,2228.0,9.0,11.0,2009.0,66.0,37.0,14.0,15.0,Бойчука,Дніпровський
86860.0,2.0,905.0,10.0,10.0,2017.0,96.0,44.0,23.0,29.0,Центральна,Дніпровський
97000.0,2.0,1260.0,16.0,22.0,2018.0,77.0,37.0,14.0,26.0,Ясинуватський,Голосіївський
55000.0,2.0,1222.0,13.0,16.0,1980.0,45.0,37.0,11.0,0.0,Райдужна,Дніпровський
138000.0,2.0,1811.0,3.0,15.0,2014.0,37.0,37.0,14.0,0.0,Ломоносова,Голосіївський
105000.0,2.0,1504.0,4.0,25.0,2014.0,37.0,37.0,14.0,0.0,Гусовського,Печерський
