Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,area_comfort,street,district,category
268000.0,4.0,1381.0,18.0,20.0,2010.0,194.0,93.0,35.0,66.0,Дмитрівська,Шевченківський,бізнес
140000.0,3.0,1273.0,3.0,26.0,2009.0,110.0,37.0,14.0,59.0,Кондратюка,Дніпровський,бізнес
146000.0,3.0,1718.0,1.0,9.0,2015.0,85.0,40.0,17.0,28.0,Регенераторна,Дніпровський,бізнес
63000.0,3.0,900.0,23.0,23.0,2009.0,70.0,34.0,14.0,22.0,Глибочицька,Шевченківський,бізнес
495000.0,3.0,3367.0,14.0,23.0,2014.0,147.0,50.0,40.0,57.0,Глибочицька,Шевченківський,бізнес
275000.0,3.0,2644.0,5.0,24.0,2008.0,104.0,70.0,14.0,20.0,Героїв Сталінграда,Оболонський,бізнес
73500.0,2.0,1361.0,2.0,9.0,1966.0,54.0,32.0,8.0,14.0,Борщагівська,"Солом'янський, Шевченківський ",економ
57000.0,2.0,1056.0,7.0,26.0,2009.0,54.0,28.0,9.0,17.0,Ревуцького,Дарницький,бізнес
121860.0,2.0,1741.0,2.0,9.0,2018.0,70.0,45.0,14.0,11.0,Юнацька,Святошинський,бізнес
73000.0,2.0,1000.0,21.0,25.0,2009.0,73.0,37.0,14.0,22.0,Заболотного,Оболонський,бізнес
39000.0,1.0,1147.0,3.0,5.0,1960.0,34.0,18.0,8.0,8.0,Автозаводська,Оболонський,економ
92284.0,2.0,1138.0,6.0,34.0,2009.0,121.0,37.0,14.0,70.0,Заболотного,"Голосіївський, Печерський, Шевченківський",бізнес
210000.0,2.0,1736.0,14.0,24.0,2008.0,121.0,60.0,30.0,31.0,Саксаганського,"Голосіївський, Печерський, Шевченківський",бізнес
139900.0,4.0,1260.0,6.0,9.0,2009.0,111.0,37.0,14.0,60.0,Зарічна,Дарницький,бізнес
145000.0,2.0,1686.0,17.0,23.0,2005.0,86.0,48.0,12.0,26.0,Героїв Сталінграда,Оболонський,бізнес
76000.0,3.0,1086.0,6.0,9.0,1980.0,70.0,34.0,10.0,26.0,Героїв Сталінграда,Оболонський,бізнес
796000.0,4.0,4020.0,7.0,15.0,2009.0,198.0,65.0,67.0,66.0,Драгомирова,Дарницький,бізнес
97926.0,1.0,1900.0,9.0,30.0,2009.0,32.0,37.0,14.0,0.0,Драгомирова,Дарницький,бізнес
46000.0,1.0,1438.0,2.0,5.0,1963.0,32.0,19.0,6.0,7.0,Гавела,Дарницький,економ
115000.0,3.0,1135.0,13.0,25.0,2004.0,110.0,37.0,14.0,59.0,Здолбунівська,Дарницький,бізнес
430000.0,3.0,3909.0,8.0,22.0,2014.0,110.0,62.0,14.0,34.0,Драгомирова,Печерський,бізнес
3210000.0,5.0,8025.0,10.0,10.0,1961.0,400.0,250.0,50.0,100.0,Мечнікова,Печерський,бізнес
127900.0,2.0,1776.0,13.0,24.0,2017.0,72.0,35.0,17.0,20.0,Максимовича,Святошинський,бізнес
75000.0,2.0,1250.0,4.0,5.0,1938.0,60.0,45.0,9.0,6.0,Багговутівська,Шевченківський,економ
90005.0,2.0,1915.0,8.0,15.0,2009.0,47.0,17.0,20.0,10.0,Шолуденка,Шевченківський,бізнес
284999.0,2.0,3202.0,3.0,18.0,2005.0,89.0,50.0,16.0,23.0,Щекавицька,Подільський,бізнес
51000.0,3.0,850.0,2.0,9.0,1972.0,60.0,40.0,6.0,14.0,Коласа,Шевченківський,економ
320000.0,3.0,3107.0,8.0,24.0,2013.0,103.0,37.0,16.0,50.0,Перемоги,Шевченківський,бізнес
43000.0,2.0,782.0,24.0,26.0,2009.0,55.0,37.0,11.0,7.0,Перемоги,Шевченківський,бізнес
91000.0,1.0,1750.0,33.0,35.0,2009.0,52.0,20.0,22.0,10.0,Перемоги,Шевченківський,бізнес
185000.0,2.0,2256.0,6.0,9.0,2009.0,82.0,35.0,24.0,23.0,Наумова,Шевченківський,бізнес
49990.0,3.0,757.0,8.0,9.0,1976.0,66.0,45.0,8.0,13.0,Наумова,Шевченківський,бізнес
89000.0,1.0,2342.0,7.0,15.0,2009.0,38.0,20.0,7.0,11.0,Перемоги,Шевченківський,бізнес
170000.0,2.0,2656.0,5.0,7.0,1948.0,64.0,37.0,9.0,18.0,Велика Васильківська,"Голосіївський, Шевченківський, Печерський",бізнес
46500.0,2.0,1011.0,5.0,5.0,1963.0,46.0,31.0,7.0,8.0,Вишгородська,"Подільський, Оболонський",економ
